Rank,Country,2015,2016,2017,2018,2019,2020,Continent,2020
1,Qatar,"143,532","144,935","149,526","156,488","164,515","174,375",Asia,
2,Luxembourg,"93,174","94,689","96,757","98,901","100,909","102,940",Europe,
3,Singapore,"85,198","88,485","92,577","96,978","101,373","106,049",Asia,
4,Brunei Darussalam,"72,370","74,252","77,092","82,549","92,106","97,032",Asia,
5,Kuwait,"70,914","71,318","73,018","74,833","76,586","78,376",Asia,
6,Norway,"67,445","68,759","70,659","72,740","74,876","77,072",Europe,
7,United Arab Emirates,"65,149","66,312","68,034","70,081","72,041","74,181",Asia,
8,San Marino,"61,836","63,493","65,620","67,945","70,211","72,575",Europe,
9,Switzerland,"58,731","59,976","61,758","63,900","66,016","68,191",Europe,
10,Hong Kong,"56,428","58,715","61,573","64,668","67,846","71,195",Asia,
11,U.S.,"56,421","58,625","61,013","63,366","65,506","67,697",North America,
12,Saudi Arabia,"53,149","54,332","56,051","57,895","59,723","61,664",Asia,
13,Bahrain,"52,515","53,514","54,840","56,480","58,091","59,747",Asia,
14,Ireland,"51,119","53,136","55,268","57,400","59,483","61,681",Europe,
15,Netherlands,"48,317","49,586","51,356","53,259","55,200","57,310",Europe,
16,Taiwan Province of China,"47,899","50,464","53,478","56,754","60,152","63,768",Asia,
17,Australia,"47,608","49,257","51,194","53,186","55,124","57,089",Oceania,
18,Sweden,"47,229","48,876","50,820","52,787","54,690","56,584",Europe,
19,Austria,"47,031","48,273","49,748","51,245","52,674","54,071",Europe,
20,Germany,"46,896","48,266","49,894","51,553","53,221","54,952",Europe,
21,Canada,"45,723","46,925","48,397","49,927","51,417","52,927",North America,
22,Denmark,"45,451","46,907","48,735","50,701","52,668","54,725",Europe,
23,Iceland,"45,269","47,000","48,770","50,712","52,681","54,712",Europe,
24,Belgium,"43,800","44,843","46,156","47,571","48,961","50,406",Europe,
25,France,"41,018","42,059","43,455","44,978","46,513","48,095",Europe,
26,Finland,"40,838","41,831","43,126","44,576","46,031","47,528",Europe,
27,U.K.,"40,676","41,957","43,470","45,080","46,662","48,271",Europe,
28,Oman,"40,539","41,167","41,689","41,982","42,140","42,184",Asia,
29,Japan,"38,216","39,362","40,481","41,781","43,075","44,406",Asia,
30,South Korea,"36,601","38,270","40,317","42,519","44,772","47,134",Asia,
31,New Zealand,"36,152","37,402","38,820","40,324","41,817","43,282",Oceania,
32,Italy,"35,811","36,589","37,602","38,690","39,728","40,768",Europe,
33,Spain,"34,899","36,200","37,652","39,189","40,724","42,315",Europe,
34,Malta,"34,544","35,961","37,598","39,330","41,054","42,829",Europe,
35,Israel,"33,495","34,444","35,533","36,663","37,762","38,871",Asia,
36,Trinidad and Tobago,"32,654","33,469","34,527","35,698","36,887","38,185",North America,
37,Czech Republic,"30,895","32,170","33,607","35,056","36,516","38,026",Europe,
38,Cyprus,"30,770","31,361","32,335","33,461","34,541","35,572",Europe,
39,Slovenia,"30,508","31,507","32,707","33,982","35,243","36,548",Europe,
40,Slovakia,"29,210","30,603","32,194","33,864","35,533","37,277",Europe,
41,Lithuania,"28,210","29,698","31,484","33,470","35,563","37,809",Europe,
42,Estonia,"27,995","29,455","31,161","33,007","34,911","36,918",Europe,
43,Portugal,"27,624","28,450","29,421","30,407","31,350","32,314",Europe,
44,Equatorial Guinea,"26,810","27,480","26,031","24,110","21,730","20,562",Africa,
45,Greece,"26,773","28,204","29,744","31,385","33,009","34,595",Europe,
46,Seychelles,"26,443","27,532","28,806","30,145","31,466","32,844",Africa,
47,Poland,"26,210","27,530","29,100","30,797","32,563","34,406",Europe,
48,Hungary,"25,895","26,941","28,157","29,425","30,703","32,031",Europe,
49,Malaysia,"25,632","26,834","28,275","29,820","31,401","33,061",Asia,
50,The Bahamas,"25,577","26,398","27,112","27,851","28,517","29,199",North America,
51,Latvia,"24,541","25,819","27,416","29,182","31,029","32,991",Europe,
52,Kazakhstan,"24,360","25,127","26,480","27,876","29,232","30,595",Asia,
53,Russia,"24,067","24,160","24,904","25,820","26,730","27,667",Europe,
54,Gabon,"23,812","25,133","26,718","28,464","30,283","32,269",Africa,
55,Chile,"23,556","24,451","25,584","26,819","28,097","29,460",South America,
56,Antigua and Barbuda,"22,966","23,592","24,465","25,392","26,315","27,266",North America,
57,Argentina,"22,459","22,568","22,834","23,145","23,436","23,739",South America,
58,St. Kitts and Nevis,"21,585","22,119","22,686","23,292","23,879","24,478",North America,
59,Uruguay,"21,247","22,116","23,171","24,371","25,595","26,962",South America,
60,Croatia,"21,169","21,701","22,518","23,474","24,417","25,401",Europe,
61,Romania,"20,526","21,546","22,847","24,276","25,758","27,323",Europe,
62,Panama,"20,418","21,618","23,081","24,757","26,315","27,888",North America,
63,Turkey,"20,188","21,007","21,983","23,022","24,067","25,161",Europe,
64,Mauritius,"19,374","20,351","21,490","22,706","23,962","25,284",Africa,
65,Lebanon,"18,422","18,984","19,766","20,598","21,641","22,733",Asia,
66,Mexico,"18,370","19,045","19,893","20,846","21,811","22,818",North America,
67,Bulgaria,"18,327","18,975","19,814","20,748","21,757","22,856",Europe,
68,Belarus,"17,836","18,172","18,677","19,245","19,794","20,387",Europe,
69,Azerbaijan,"17,745","18,309","19,015","19,961","20,914","21,852",Europe,
70,Iran,"17,141","17,398","17,802","18,270","18,766","19,292",Asia,
71,Suriname,"17,062","17,813","18,833","19,993","21,099","22,250",South America,
72,Botswana,"16,653","17,378","18,254","19,187","20,062","20,907",Africa,
73,Palau,"16,611","17,144","17,757","18,354","18,942","19,508",Oceania,
74,Barbados,"16,425","16,872","17,433","18,084","18,763","19,478",North America,
75,Venezuela,"16,346","15,683","15,366","15,222","15,209","15,271",South America,
76,Libya,"16,332","19,220","25,525","27,406","30,231","31,286",Africa,
77,Brazil,"15,941","16,209","16,786","17,415","18,067","18,757",South America,
78,Montenegro,"15,805","16,573","17,333","17,953","18,756","19,723",Europe,
79,Costa Rica,"15,366","16,072","16,921","17,812","18,704","19,638",North America,
80,Turkmenistan,"15,332","16,724","18,413","20,110","21,890","23,495",Asia,
81,Maldives,"14,980","15,542","16,260","17,055","17,899","18,843",Asia,
82,Thailand,"14,980","15,776","16,730","17,756","18,800","19,887",Asia,
83,Algeria,"14,471","14,971","15,627","16,313","16,957","17,610",Africa,
84,Iraq,"14,448","15,321","16,533","17,780","19,016","20,266",Asia,
85,FYR Macedonia,"13,956","14,692","15,568","16,511","17,485","18,512",Europe,
86,Colombia,"13,851","14,414","15,125","15,917","16,739","17,601",South America,
87,China,"13,801","14,813","15,942","17,188","18,544","20,004",Asia,
88,Dominican Republic,"13,554","14,123","14,726","15,368","16,014","16,685",North America,
89,Serbia,"13,380","13,784","14,350","15,171","16,015","16,985",Europe,
90,South Africa,"13,215","13,481","13,869","14,322","14,781","15,254",Africa,
91,Mongolia,"12,335","12,857","13,425","14,342","15,330","16,826",Asia,
92,Grenada,"12,231","12,624","13,102","13,663","14,240","14,839",North America,
93,Jordan,"12,213","12,672","13,221","13,805","14,394","15,005",Asia,
94,Peru,"12,187","12,788","13,558","14,297","15,004","15,748",South America,
95,Albania,"11,885","12,609","13,515","14,499","15,531","16,634",Europe,
96,St. Lucia,"11,832","12,106","12,504","12,951","13,421","13,899",North America,
97,Tunisia,"11,624","12,125","12,800","13,591","14,386","15,204",Africa,
98,Ecuador,"11,380","11,788","12,392","12,975","13,569","14,192",South America,
99,Namibia,"11,374","12,194","13,021","13,917","14,824","15,787",Africa,
100,Egypt,"11,194","11,613","12,140","12,727","13,357","14,026",Africa,
101,Dominica,"11,155","11,651","12,083","12,565","13,059","13,570",North America,
102,Indonesia,"11,135","11,756","12,515","13,360","14,241","15,177",Asia,
103,St. Vincent and the Grenadines,"11,089","11,592","12,192","12,834","13,489","14,175",North America,
104,Sri Lanka,"11,069","11,884","12,829","13,862","14,955","16,132",Asia,
105,Bosnia and Herzegovina,"10,169","10,666","11,306","12,010","12,748","13,541",Europe,
106,Jamaica,"8,784","9,067","9,430","9,834","10,246","10,673",North America,
107,Paraguay,"8,717","9,047","9,438","9,858","10,278","10,714",South America,
108,Fiji,"8,537","8,878","9,278","9,708","10,145","10,604",Oceania,
109,Belize,"8,321","8,528","8,762","9,003","9,227","9,456",North America,
110,Ukraine,"8,278","8,587","9,092","9,679","10,286","10,935",Europe,
111,El Salvador,"8,261","8,564","8,931","9,295","9,631","9,977",North America,
112,Bhutan,"8,158","8,813","9,613","10,770","11,675","12,522",Asia,
113,Morocco,"7,931","8,370","8,906","9,495","10,117","10,779",Africa,
114,Swaziland,"7,918","8,086","8,274","8,478","8,675","8,874",Africa,
115,Georgia,"7,900","8,285","8,865","9,540","10,267","11,050",Europe,
116,Guatemala,"7,681","7,903","8,175","8,465","8,752","9,040",North America,
117,Angola,"7,373","7,552","7,867","8,214","8,590","9,001",Africa,
118,Armenia,"7,353","7,463","7,730","8,093","8,501","8,972",Europe,
119,Philippines,"7,348","7,772","8,243","8,751","9,276","9,830",Asia,
120,Guyana,"7,200","7,610","8,056","8,534","8,954","9,392",South America,
121,DR Congo,"6,809","7,280","7,901","8,234","8,399","8,582",Africa,
122,Cabo Verde,"6,492","6,768","7,093","7,443","7,800","8,174",Africa,
123,Bolivia,"6,424","6,671","6,952","7,247","7,544","7,775",South America,
124,India,"6,266","6,746","7,308","7,932","8,601","9,328",Asia,
125,Nigeria,"6,204","6,432","6,724","7,053","7,405","7,786",Africa,
126,Viet Nam,"5,964","6,338","6,779","7,264","7,772","8,314",Asia,
127,Uzbekistan,"5,939","6,343","6,813","7,324","7,861","8,436",Asia,
128,Samoa,"5,330","5,442","5,457","5,577","5,728","5,911",Oceania,
129,Timor-Leste,"5,309","5,172","4,733","4,521","3,800","3,308",Asia,
130,Lao P.D.R.,"5,298","5,691","6,138","6,606","7,108","7,636",Asia,
131,Myanmar,"5,101","5,574","6,115","6,696","7,304","7,959",Asia,
132,Tonga,"5,045","5,231","5,430","5,627","5,835","5,975",Oceania,
133,Moldova,"4,973","5,199","5,492","5,824","6,177","6,551",Europe,
134,Nicaragua,"4,937","5,162","5,412","5,679","5,950","6,233",North America,
135,Pakistan,"4,886","5,093","5,344","5,625","5,913","6,217",Asia,
136,Honduras,"4,830","4,967","5,146","5,347","5,548","5,754",North America,
137,Mauritania,"4,459","4,719","4,929","5,163","5,584","5,843",Africa,
138,Sudan,"4,315","4,418","4,590","4,773","4,991","5,213",Africa,
139,Zambia,"4,236","4,449","4,690","4,942","5,194","5,459",Africa,
140,Ghana,"4,204","4,425","4,811","5,124","5,318","5,517",Africa,
141,Yemen,"3,614","3,688","3,804","3,974","4,149","4,353",Asia,
142,Bangladesh,"3,581","3,840","4,151","4,490","4,850","5,225",Asia,
143,Cambodia,"3,477","3,726","4,019","4,342","4,682","5,048",Asia,
144,Kyrgyz Republic,"3,413","3,547","3,769","4,009","4,258","4,525",Asia,
145,Tuvalu,"3,371","3,493","3,619","3,755","3,886","4,013",Oceania,
146,Marshall Islands,"3,366","3,438","3,515","3,597","3,670","3,744",Oceania,
147,C?te d'Ivoire,"3,317","3,536","3,781","4,026","4,261","4,486",Africa,
148,S??o Tom?? and Pr??ncipe,"3,259","3,398","3,575","3,766","3,982","4,212",Africa,
149,Kenya,"3,239","3,431","3,652","3,890","4,136","4,385",Africa,
150,Djibouti,"3,189","3,368","3,582","3,812","4,046","4,255",Africa,
151,Cameroon,"3,082","3,203","3,348","3,503","3,659","3,822",Africa,
152,Micronesia,"3,052","3,129","3,224","3,323","3,417","3,517",Oceania,
153,Lesotho,"2,892","3,057","3,287","3,540","3,817","4,130",Africa,
154,Papua New Guinea,"2,818","2,882","2,970","3,062","3,153","3,248",Oceania,
155,Tanzania,"2,801","2,957","3,136","3,324","3,517","3,723",Africa,
156,Chad,"2,772","2,878","3,096","3,240","3,390","3,469",Africa,
157,Tajikistan,"2,736","2,832","2,972","3,122","3,275","3,434",Asia,
158,Nepal,"2,489","2,623","2,766","2,918","3,074","3,238",Asia,
159,Vanuatu,"2,469","2,572","2,682","2,772","2,832","2,894",Oceania,
160,Senegal,"2,371","2,456","2,570","2,708","2,871","3,045",Africa,
161,South Sudan,"2,277","2,735","2,875","2,915","2,931","3,020",Africa,
162,Zimbabwe,"2,100","2,165","2,262","2,369","2,473","2,587",Africa,
163,Uganda,"2,087","2,172","2,277","2,393","2,515","2,646",Africa,
164,Afghanistan,"1,976","2,057","2,177","2,298","2,429","2,553",Asia,
165,Benin,"1,941","2,026","2,130","2,245","2,367","2,500",Africa,
166,Solomon Islands,"1,933","1,978","2,045","2,113","2,182","2,251",Oceania,
167,Haiti,"1,799","1,869","1,954","2,045","2,138","2,230",North America,
168,Mali,"1,786","1,846","1,924","2,006","2,088","2,168",Africa,
169,Rwanda,"1,784","1,890","2,021","2,164","2,314","2,473",Africa,
170,Sierra Leone,"1,759","1,900","2,072","2,201","2,335","2,494",Africa,
171,Kiribati,"1,753","1,781","1,826","1,875","1,923","1,971",Oceania,
172,Burkina Faso,"1,731","1,809","1,912","2,022","2,132","2,248",Africa,
173,Ethiopia,"1,703","1,835","1,980","2,141","2,302","2,475",Africa,
174,The Gambia,"1,650","1,771","1,868","1,967","2,068","2,174",Africa,
175,Comoros,"1,570","1,608","1,657","1,708","1,759","1,810",Africa,
176,Togo,"1,510","1,584","1,671","1,765","1,861","1,963",Africa,
177,Madagascar,"1,480","1,534","1,599","1,668","1,738","1,811",Africa,
178,Guinea-Bissau,"1,480","1,527","1,585","1,646","1,707","1,770",Africa,
179,Guinea,"1,289","1,359","1,465","1,582","1,675","1,803",Africa,
180,Mozambique,"1,232","1,318","1,415","1,524","1,634","1,865",Africa,
181,Eritrea,"1,170","1,176","1,199","1,228","1,257","1,288",Africa,
182,Niger,"1,073","1,114","1,191","1,270","1,384","1,438",Africa,
183,Burundi,940,979,"1,026","1,079","1,132","1,189",Africa,
184,Liberia,855,890,956,"1,040","1,137","1,245",Africa,
185,Malawi,807,841,885,931,977,"1,026",Africa,
186,Democratic Republic of the Congo,753,804,864,917,966,"1,007",Africa,
187,Central African Republic,635,668,707,749,792,839,Africa,
